epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.872,1.13484,1.46043,1.01327,0.82482,0.66022,0.75204,0.47089,1.23274,1.19808,1.06385,7.145e-05,7.145e-05,7.145e-05
2,66.684,1.07062,0.92207,0.99669,0.82714,0.58066,0.74711,0.46137,1.30758,1.13692,1.0783,0.000154078,0.000154078,0.000154078
3,100.753,1.06547,0.78164,0.99145,0.75723,0.80992,0.88864,0.58614,1.22372,0.90004,1.03637,0.00023331,0.00023331,0.00023331
4,140.23,1.07951,0.83403,1.00175,0.87351,0.82446,0.93013,0.63276,1.18777,0.89469,1.02281,0.000309147,0.000309147,0.000309147
5,175.278,1.09424,0.8138,0.99198,0.92509,0.85205,0.93694,0.63377,1.22575,0.85756,1.0309,0.000381589,0.000381589,0.000381589
6,207.025,1.07387,0.81672,0.98822,0.92014,0.91081,0.954,0.65998,1.16208,0.7781,0.99631,0.000450635,0.000450635,0.000450635
7,238.928,1.07826,0.81462,0.98179,0.95852,0.92062,0.9697,0.6925,1.11743,0.74502,0.98289,0.000516286,0.000516286,0.000516286
8,270.784,1.04456,0.80183,0.99329,0.94907,0.92552,0.96644,0.67501,1.18426,0.76671,1.02298,0.000578542,0.000578542,0.000578542
9,303.631,1.06556,0.78587,0.99198,0.9312,0.93331,0.97127,0.67556,1.14655,0.80961,1.01014,0.000637403,0.000637403,0.000637403
10,335.761,1.09865,0.77018,0.99617,0.94912,0.93408,0.97465,0.68135,1.14363,0.75855,1.00295,0.000692868,0.000692868,0.000692868
11,369.905,1.04499,0.74847,0.97936,0.95698,0.94307,0.97935,0.69118,1.13931,0.72653,0.99334,0.000744938,0.000744938,0.000744938
12,407.743,1.03938,0.72882,0.97951,0.96534,0.93877,0.98357,0.68537,1.14982,0.69728,0.99491,0.000793612,0.000793612,0.000793612
13,441.479,1.08186,0.75299,1.0159,0.96438,0.96832,0.98663,0.70869,1.08016,0.64699,0.96163,0.000838892,0.000838892,0.000838892
14,476.349,1.04219,0.7414,0.98223,0.9681,0.97308,0.98796,0.72538,1.05313,0.6311,0.95038,0.000880776,0.000880776,0.000880776
15,512.48,1.04993,0.69882,0.96921,0.99319,0.96358,0.98782,0.72988,1.06593,0.62517,0.962,0.000919264,0.000919264,0.000919264
16,546.433,1.04907,0.71652,1.00625,0.96214,0.96997,0.98873,0.72829,1.07045,0.63256,0.97435,0.000954358,0.000954358,0.000954358
17,580.316,1.04239,0.7059,0.9992,0.97006,0.97078,0.98937,0.73969,1.02961,0.6184,0.96012,0.000976293,0.000976293,0.000976293
