epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,615.934,1.0341,0.71711,0.99258,0.96663,0.97448,0.9863,0.74374,1.02119,0.63349,0.95293,0.000947999,0.000947999,0.000947999
19,650.994,1.02895,0.72646,0.98519,0.97213,0.94391,0.98403,0.73466,1.04666,0.63962,0.96546,0.000919704,0.000919704,0.000919704
20,685.945,1.04263,0.72684,0.96682,0.96821,0.96701,0.98164,0.69203,1.16548,0.67981,1.02508,0.00089141,0.00089141,0.00089141
21,720.942,1.04658,0.70166,0.98992,0.97321,0.96143,0.98035,0.69002,1.14426,0.67072,1.02225,0.000863116,0.000863116,0.000863116
22,755.255,1.01523,0.69415,0.98776,0.97113,0.95605,0.98382,0.71593,1.06527,0.63241,0.9798,0.000834822,0.000834822,0.000834822
23,789.111,1.0036,0.68053,0.97468,0.96462,0.95607,0.98703,0.72916,1.06792,0.62782,0.97792,0.000806528,0.000806528,0.000806528
24,824.206,1.01523,0.65421,0.97104,0.97535,0.95747,0.98543,0.72435,1.07541,0.62599,0.98909,0.000778233,0.000778233,0.000778233
25,858.999,1.03928,0.68109,0.98561,0.97394,0.95893,0.98718,0.71456,1.11094,0.62043,1.00172,0.000749939,0.000749939,0.000749939
26,893.425,1.00552,0.65549,0.98629,0.96995,0.94997,0.98696,0.70861,1.12142,0.6131,0.99287,0.000721645,0.000721645,0.000721645
27,927.168,0.98395,0.65801,0.96951,0.95591,0.96063,0.9847,0.72241,1.07961,0.61423,0.97339,0.000693351,0.000693351,0.000693351
28,960.936,0.99278,0.66768,0.96441,0.9582,0.95379,0.98843,0.74037,1.03585,0.60106,0.95703,0.000665057,0.000665057,0.000665057
29,994.228,1.00186,0.66998,0.96615,0.96934,0.94544,0.99025,0.73513,1.04586,0.60158,0.96374,0.000636762,0.000636762,0.000636762
30,1030.05,0.95655,0.62927,0.96122,0.92604,0.98439,0.99044,0.72078,1.09337,0.62084,0.98672,0.000608468,0.000608468,0.000608468
31,1063.61,0.96957,0.66081,0.97655,0.97519,0.952,0.99173,0.72122,1.09064,0.62268,0.98714,0.000580174,0.000580174,0.000580174
32,1096.4,1.00309,0.72045,0.97695,0.98175,0.95236,0.98927,0.72621,1.06698,0.59673,0.97374,0.00055188,0.00055188,0.00055188
33,1131.18,0.95912,0.62876,0.9592,0.98639,0.95298,0.98981,0.73244,1.05646,0.5836,0.96683,0.000523586,0.000523586,0.000523586
34,1165.86,0.97747,0.64764,0.99001,0.97996,0.95653,0.99241,0.75134,1.02339,0.57128,0.94886,0.000495291,0.000495291,0.000495291
35,1202.31,1.00015,0.63001,0.95747,0.98123,0.9516,0.9891,0.75045,1.01616,0.5714,0.94411,0.000466997,0.000466997,0.000466997
36,1237.35,0.98739,0.62456,0.95936,0.98467,0.9474,0.98766,0.74286,1.02993,0.57968,0.9548,0.000438703,0.000438703,0.000438703
37,1272.68,0.94231,0.61495,0.95569,0.98565,0.94726,0.98793,0.73817,1.0553,0.57981,0.96614,0.000410409,0.000410409,0.000410409
38,1309.01,0.95379,0.61148,0.96567,0.97977,0.94556,0.98813,0.73687,1.07179,0.57344,0.97457,0.000382115,0.000382115,0.000382115
39,1345.1,0.95939,0.6068,0.9549,0.96957,0.9528,0.98837,0.73829,1.05137,0.57013,0.96751,0.00035382,0.00035382,0.00035382
40,1381.73,0.95504,0.61541,0.94891,0.97002,0.95599,0.98844,0.74758,1.0172,0.56807,0.95364,0.000325526,0.000325526,0.000325526
41,1414.51,0.91217,0.69559,0.96178,0.97199,0.95838,0.98936,0.75265,1.00951,0.56931,0.94964,0.000297232,0.000297232,0.000297232
42,1448.55,0.91077,0.63721,0.94642,0.9684,0.96088,0.98836,0.74867,1.00148,0.56583,0.94387,0.000268938,0.000268938,0.000268938
43,1481.74,0.90887,0.61783,0.92379,0.96648,0.95964,0.98646,0.74675,1.00034,0.56849,0.94146,0.000240644,0.000240644,0.000240644
44,1515.45,0.92373,0.63626,0.94599,0.96432,0.9547,0.98188,0.74898,0.99957,0.58288,0.9378,0.000212349,0.000212349,0.000212349
45,1550.36,0.91856,0.59822,0.95116,0.96477,0.95466,0.9829,0.74861,0.99992,0.58717,0.93748,0.000184055,0.000184055,0.000184055
46,1584.43,0.92746,0.59469,0.94865,0.96436,0.95416,0.98451,0.74168,1.00887,0.58286,0.9423,0.000155761,0.000155761,0.000155761
47,1617.68,0.88849,0.58765,0.92941,0.96506,0.95416,0.98496,0.74428,1.01239,0.577,0.94455,0.000127467,0.000127467,0.000127467
48,1651.59,0.88918,0.57188,0.94406,0.96633,0.95416,0.98559,0.74741,1.01471,0.56419,0.94699,9.91726e-05,9.91726e-05,9.91726e-05
49,1688.4,0.91219,0.58492,0.92952,0.96805,0.95416,0.98554,0.74863,1.01264,0.55899,0.94634,7.08784e-05,7.08784e-05,7.08784e-05
50,1722.83,0.88697,0.57841,0.92656,0.96749,0.95425,0.98611,0.75034,1.01157,0.55319,0.94623,4.25842e-05,4.25842e-05,4.25842e-05
